subjid,community,sex,screen,touchscreen,household,children,younger_children,ageinyears,precision
W0000001,windhoek,f,1,1,5,3,1,3.4496919917864477,312.4376427833468
W0000002,windhoek,f,1,1,5,3,2,5.634496919917864,220.67905925118012
W0000003,windhoek,f,1,1,9,3,0,3.7399041752224504,452.2046054071805
W0000004,windhoek,f,1,1,7,3,0,5.776865160848733,234.8013947790741
W0000005,windhoek,m,1,1,5,2,0,8.657084188911705,320.7842668021397
W0000006,windhoek,f,1,1,7,3,0,8.399726214921287,172.662781044034
W0000007,windhoek,m,1,1,7,3,0,5.670088980150582,407.5394412770096
W0000008,windhoek,m,1,0,5,2,0,6.704996577686516,576.5698724288474
W0000009,windhoek,f,1,1,4,3,2,7.039014373716633,166.10825254258756
W0000010,windhoek,f,1,1,5,4,2,6.2559890485968515,266.8863741860496
W0000011,windhoek,f,1,1,4,4,1,6.2559890485968515,162.25720337367665
W0000012,windhoek,f,1,1,6,1,0,4.766598220396989,148.9317427497337
W0000013,windhoek,NA,NA,NA,NA,NA,NA,8.276522929500342,236.32314058454597
W0000014,windhoek,m,1,1,4,3,0,8.276522929500342,175.11104183305093
W0000016,windhoek,m,1,1,2,1,0,5.327857631759069,153.47744066787092
W0000017,windhoek,f,1,1,5,3,0,5.338809034907597,556.9458849296225
W0000018,windhoek,m,1,1,6,4,0,5.327857631759069,210.11482167765416
W0000019,windhoek,f,1,1,6,5,0,4.328542094455853,462.65181903246145
W0000020,windhoek,f,1,1,2,1,0,5.177275838466803,796.7369010799465
W0000021,windhoek,f,1,1,6,2,0,3.186858316221766,518.4436683713689
W0000022,windhoek,f,1,1,8,2,0,5.327857631759069,372.2645295796072
W0000023,windhoek,m,1,1,2,1,1,4.602327173169062,640.2755483366593
W0000024,windhoek,m,1,1,4,2,0,4.4435318275154,450.80351664752277
W0000025,windhoek,f,1,1,10,7,0,8.328542094455852,227.6337466540651
W0000026,windhoek,m,1,1,10,7,2,7.329226557152635,109.97472136991672
W0000027,windhoek,F,1,1,10,7,1,6.327173169062286,217.79831210301478
W0000028,windhoek,m,1,1,10,7,0,4.328542094455853,186.68713161546867
W0000029,windhoek,m,1,1,3,1,0,4.093086926762491,348.98447316598447
W0000030,windhoek,f,1,1,4,3,0,4.334017796030117,250.5198034949662
W0000031,windhoek,f,0,0,4,3,1,3.865845311430527,403.2183924365226
W0000032,windhoek,m,1,1,7,3,2,5.708418891170431,214.99552144194115
W0000034,windhoek,m,0,1,5,2,0,6.978781656399726,395.0183374843299
W0000035,windhoek,m,0,1,5,2,0,7.901437371663245,390.6354304398386
W0000036,windhoek,m,1,1,6,4,1,7.906913073237509,420.3120092768978
W0000037,windhoek,f,1,1,4,1,0,2.6557152635181382,142.78480750457715
W0000038,windhoek,m,1,1,6,3,0,7.904175222450377,113.32522946079945
