subjid,community,age_group,ageinyears,sex,screen,touchscreen,household,children,younger_children,trialnr,targetposition,targetcenterx,targetcentralityx,clickdistfromtargetcenterx,continent,older_children,click
z20230001,Chimfunshi (Sambia),5,-0.15888665527947363,f,1,1,3,2,0,1,9,1573.539641067205,0.6775837728971165,-106.87301509064218,Africa,1,106.87301509064218
z20230001,Chimfunshi (Sambia),5,-0.15888665527947363,f,1,1,3,2,0,2,3,529.7132380584449,-0.04502229567953553,-155.04658156430423,Africa,1,155.04658156430423
z20230001,Chimfunshi (Sambia),5,-0.15888665527947363,f,1,1,3,2,0,3,1,170.55375975643074,1.3712218574609418,230.77958374942864,Africa,1,230.77958374942864
z20230001,Chimfunshi (Sambia),5,-0.15888665527947363,f,1,1,3,2,0,4,5,814.6039928109088,-1.1684086743697177,205.39600718909116,Africa,1,205.39600718909116
z20230001,Chimfunshi (Sambia),5,-0.15888665527947363,f,1,1,3,2,0,5,8,1450.228604798011,0.1913414636043994,-147.56197882144852,Africa,1,147.56197882144852
z20230001,Chimfunshi (Sambia),5,-0.15888665527947363,f,1,1,3,2,0,6,7,1281.0917823979123,-0.475601914689164,-7.758408374474811,Africa,1,7.758408374474811
z20230001,Chimfunshi (Sambia),5,-0.15888665527947363,f,1,1,3,2,0,7,6,1108.5774378747726,-1.1558635993280695,-164.5774378747726,Africa,1,164.5774378747726
z20230001,Chimfunshi (Sambia),5,-0.15888665527947363,f,1,1,3,2,0,8,4,653.1549030078357,-0.531779702347481,158.84509699216426,Africa,1,158.84509699216426
z20230001,Chimfunshi (Sambia),5,-0.15888665527947363,f,1,1,3,2,0,9,2,368.81105705519434,0.5894500956679778,409.8556299565244,Africa,1,409.8556299565244
z20230001,Chimfunshi (Sambia),5,-0.15888665527947363,f,1,1,3,2,0,10,8,1450.228604798011,0.1913414636043994,57.77139520198898,Africa,1,57.77139520198898
z20230001,Chimfunshi (Sambia),5,-0.15888665527947363,f,1,1,3,2,0,11,10,1831.5902001618472,1.6951334064476593,-444.9235741852847,Africa,1,444.9235741852847
z20230001,Chimfunshi (Sambia),5,-0.15888665527947363,f,1,1,3,2,0,12,1,170.55375975643074,1.3712218574609418,477.44624024356926,Africa,1,477.44624024356926
z20230001,Chimfunshi (Sambia),5,-0.15888665527947363,f,1,1,3,2,0,13,4,653.1549030078357,-0.531779702347481,-30.488215996116992,Africa,1,30.488215996116992
z20230001,Chimfunshi (Sambia),5,-0.15888665527947363,f,1,1,3,2,0,14,7,1281.0917823979123,-0.475601914689164,133.5748435786502,Africa,1,133.5748435786502
z20230001,Chimfunshi (Sambia),5,-0.15888665527947363,f,1,1,3,2,0,15,6,1108.5774378747726,-1.1558635993280695,-171.24412488649136,Africa,1,171.24412488649136
z20230002,Chimfunshi (Sambia),7,1.304367155999873,m,0,0,8,2,1,1,8,1416.372101797191,0.05783788840326121,-425.70541478547216,Africa,0,425.70541478547216
z20230002,Chimfunshi (Sambia),7,1.304367155999873,m,0,0,8,2,1,2,5,811.0653450120144,-1.1544550143440915,154.26796797626685,Africa,0,154.26796797626685
z20230002,Chimfunshi (Sambia),7,1.304367155999873,m,0,0,8,2,1,3,2,330.55033381015687,0.7403204718220087,660.1163532015619,Africa,0,660.1163532015619
z20230002,Chimfunshi (Sambia),7,1.304367155999873,m,0,0,8,2,1,4,1,206.4708852109261,1.2295927985174713,774.8624277773552,Africa,0,774.8624277773552
z20230002,Chimfunshi (Sambia),7,1.304367155999873,m,0,0,8,2,1,5,7,1297.2199346657746,-0.41200509285863385,-315.8866216774934,Africa,0,315.8866216774934
z20230002,Chimfunshi (Sambia),7,1.304367155999873,m,0,0,8,2,1,6,9,1531.0100342820922,0.5098802579306249,-533.6767212938109,Africa,0,533.6767212938109
z20230002,Chimfunshi (Sambia),7,1.304367155999873,m,0,0,8,2,1,7,6,1010.9955407085494,-1.5406503017906674,-32.328853696830606,Africa,0,32.328853696830606
z20230002,Chimfunshi (Sambia),7,1.304367155999873,m,0,0,8,2,1,8,10,1744.9045967143747,1.3533131665243174,-730.237909702656,Africa,0,730.237909702656
z20230002,Chimfunshi (Sambia),7,1.304367155999873,m,0,0,8,2,1,9,4,625.4947789386783,-0.42270980066123426,421.17184703788416,Africa,0,421.17184703788416
z20230002,Chimfunshi (Sambia),7,1.304367155999873,m,0,0,8,2,1,10,6,1010.9955407085494,-1.5406503017906674,-8.328853696830606,Africa,0,8.328853696830606
z20230002,Chimfunshi (Sambia),7,1.304367155999873,m,0,0,8,2,1,11,4,625.4947789386783,-0.42270980066123426,371.8385340496029,Africa,0,371.8385340496029
z20230002,Chimfunshi (Sambia),7,1.304367155999873,m,0,0,8,2,1,12,3,501.8066201335323,0.06501958503855716,464.8600668781864,Africa,0,464.8600668781864
z20230002,Chimfunshi (Sambia),7,1.304367155999873,m,0,0,8,2,1,13,5,811.0653450120144,-1.1544550143440915,187.60134199970437,Africa,0,187.60134199970437
z20230002,Chimfunshi (Sambia),7,1.304367155999873,m,0,0,8,2,1,14,1,206.4708852109261,1.2295927985174713,718.8624277773552,Africa,0,718.8624277773552
z20230002,Chimfunshi (Sambia),7,1.304367155999873,m,0,0,8,2,1,15,8,1416.372101797191,0.05783788840326121,-392.3721017971909,Africa,0,392.3721017971909
z20230003,Chimfunshi (Sambia),6,0.5391793831290222,m,1,0,7,4,0,1,7,1148.3648970957418,-0.998972970250394,-119.03152307230424,Africa,3,119.03152307230424
z20230003,Chimfunshi (Sambia),6,0.5391793831290222,m,1,0,7,4,0,2,2,302.48927839499987,0.8509713332458824,660.1774086167188,Africa,3,660.1774086167188
z20230003,Chimfunshi (Sambia),6,0.5391793831290222,m,1,0,7,4,0,3,4,669.1282869120441,-0.594766238766215,302.87171308795587,Africa,3,302.87171308795587
z20230003,Chimfunshi (Sambia),6,0.5391793831290222,m,1,0,7,4,0,4,1,229.0924254779425,1.14039113164331,705.5742615337763,Africa,3,705.5742615337763
z20230003,Chimfunshi (Sambia),6,0.5391793831290222,m,1,0,7,4,0,5,8,1454.0922303330588,0.2065765817190724,-487.42554332134,Africa,3,487.42554332134
z20230003,Chimfunshi (Sambia),6,0.5391793831290222,m,1,0,7,4,0,6,3,435.6677370576026,0.32581962543944504,518.9989499541161,Africa,3,518.9989499541161
z20230003,Chimfunshi (Sambia),6,0.5391793831290222,m,1,0,7,4,0,7,6,1007.8960194976976,-1.5528723899091725,-31.896019497697697,Africa,3,31.896019497697697
z20230003,Chimfunshi (Sambia),6,0.5391793831290222,m,1,0,7,4,0,8,10,1760.3988371878008,1.414410335897612,-795.0655241995196,Africa,3,795.0655241995196
z20230003,Chimfunshi (Sambia),6,0.5391793831290222,m,1,0,7,4,0,9,5,959.987215033534,-1.741686426667758,5.346097954747393,Africa,3,5.346097954747393
z20230003,Chimfunshi (Sambia),6,0.5391793831290222,m,1,0,7,4,0,10,5,959.987215033534,-1.741686426667758,6.679471978184893,Africa,3,6.679471978184893
z20230003,Chimfunshi (Sambia),6,0.5391793831290222,m,1,0,7,4,0,11,7,1148.3648970957418,-0.998972970250394,-205.698210084023,Africa,3,205.698210084023
z20230003,Chimfunshi (Sambia),6,0.5391793831290222,m,1,0,7,4,0,12,4,669.1282869120441,-0.594766238766215,305.5384000996746,Africa,3,305.5384000996746
z20230003,Chimfunshi (Sambia),6,0.5391793831290222,m,1,0,7,4,0,13,1,229.0924254779425,1.14039113164331,737.5742615337763,Africa,3,737.5742615337763
z20230003,Chimfunshi (Sambia),6,0.5391793831290222,m,1,0,7,4,0,14,8,1454.0922303330588,0.2065765817190724,-480.7589173447775,Africa,3,480.7589173447775
z20230003,Chimfunshi (Sambia),6,0.5391793831290222,m,1,0,7,4,0,15,9,1495.6693122882136,0.3705240835419706,-527.6693122882136,Africa,3,527.6693122882136
z20230004,Chimfunshi (Sambia),7,1.478883665601997,f,0,0,6,4,2,1,7,1140.2873712229048,-1.0308244164194598,59.71262877709523,Africa,1,59.71262877709523
z20230004,Chimfunshi (Sambia),7,1.478883665601997,f,0,0,6,4,2,2,8,1393.489546581778,-0.03239301733798038,-205.4895465817781,Africa,1,205.4895465817781
z20230004,Chimfunshi (Sambia),7,1.478883665601997,f,0,0,6,4,2,3,1,103.16491337653385,1.636950775777715,610.1683996117474,Africa,1,610.1683996117474
z20230004,Chimfunshi (Sambia),7,1.478883665601997,f,0,0,6,4,2,4,5,806.4903667952841,-1.136414877464449,196.17632021643465,Africa,1,196.17632021643465
z20230004,Chimfunshi (Sambia),7,1.478883665601997,f,0,0,6,4,2,5,6,1098.181870725679,-1.1968555877981701,-35.515244749116164,Africa,1,35.515244749116164
